,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
46,8879.1173,9200,-902.1427699999999,0.4059263673265143,0.5405099565636574,0.5296130737381958,0.4588473060424303,1.0000280962942321e-12,0.888515137597722,27.31275125,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
47,10300.68593,9200,-1727.14277,0.43090268323545255,0.5405099565636574,0.5151181980142752,0.5481515862382618,1.0000335646042766e-12,0.8363790041047459,33.24029625,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
48,15532.058480000002,9200,-1844.9999149999999,0.5228155256327612,0.5405099565636574,0.5130475014446375,-0.24823527783786845,9.999543999192339e-13,0.9686997712594946,14.37310956,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
49,17749.70554,9200,-548.5713450000001,0.5617785784015102,0.5405099565636574,0.5358251632714134,-0.5945696548868661,9.998907793262907e-13,0.8040441066808038,36.48195985,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
6,11779.1173,4600,-5830.7142,0.4568780516893867,0.4596900434363425,0.4430203096481162,-0.15333733083055306,9.999718323892911e-13,0.9881739032050134,8.82037961,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
7,12831.0781,4600,-5487.8571,0.4753605257044608,0.4596900434363425,0.4490441533518299,-0.42614575436871543,9.999217182948912e-13,0.9046545175007282,25.2232075,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
8,15020.2938,4600,-3912.8571,0.5138240523764073,0.4596900434363425,0.47671618882476924,-0.642039930370995,9.998820591781517e-13,0.7666711992826241,39.94410070000001,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
9,15588.9212,4600,-3484.2856,0.5238145778263662,0.4596900434363425,0.48424599565060467,-0.5652267829017814,9.998961695244289e-13,0.8249355634781556,34.418040999999995,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
10,18346.7644,4600,-1769.9999,0.5722686317052262,0.4596900434363425,0.5143652176830825,0.26432319799775394,1.0000161851279183e-12,0.964434158977531,15.326741,90.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
39,11779.1173,9200,-5830.7142,0.4568780516893867,0.5405099565636574,0.4430203096481162,-0.15333733083055306,9.999718323892911e-13,0.9881739032050134,8.82037961,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
40,12831.0781,9200,-5487.8571,0.4753605257044608,0.5405099565636574,0.4490441533518299,-0.42614575436871543,9.999217182948912e-13,0.9046545175007282,25.2232075,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
41,15020.2938,9200,-3912.8571,0.5138240523764073,0.5405099565636574,0.47671618882476924,-0.642039930370995,9.998820591781517e-13,0.7666711992826241,39.94410070000001,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
42,15588.9212,9200,-3484.2856,0.5238145778263662,0.5405099565636574,0.48424599565060467,-0.5652267829017814,9.998961695244289e-13,0.8249355634781556,34.418040999999995,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
43,18346.7644,9200,-1769.9999,0.5722686317052262,0.5405099565636574,0.5143652176830825,0.26432319799775394,1.0000161851279183e-12,0.964434158977531,15.326741,90.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
